sample,remeshed_cd,clipped_cd,reference_cd,cd_diff_percent,remeshed_cl,clipped_cl,reference_cl,cl_diff_percent,remeshed_pressure_drag,clipped_pressure_drag,pressure_drag_diff_percent,remeshed_viscous_drag,clipped_viscous_drag,viscous_drag_diff_percent
sample_000000036,-183.89746269817604,-181.46457397181018,0.030502138708602664,-1.3229593767472847,527.4034044429733,519.9228171079552,1.7752283283115007,-1.4183805549982809,-164.33672705414887,-162.00828892372624,-1.4168702104280113,-21.878183932412515,-21.740861403921645,-0.6276687723034756
sample_000000037,-28.93247923840031,-27.463012987571158,0.009330836773802562,-5.0789503337094635,-118.2485728871958,-111.40807774308327,-0.3537156584600938,-5.784843721232969,-5.397972118143688,-5.2258773062185035,-3.1881382148443955,-23.695024108915007,-22.388366824840865,-5.514479656437763
sample_000000038,-145.9161522002518,-146.0561490779105,0.024226384321645207,0.09594337264773056,504.8482547124001,504.80186673912493,1.6230038492946912,-0.009188498294717375,-122.60234520289492,-122.5799504628628,-0.018266159586968245,-25.01522680926006,-25.177461219986117,0.6485426335051335
sample_000000039,-150.014085299133,-145.2263223350235,0.024938110478033543,-3.1915422838879084,445.3415073629586,430.8884915630642,1.4776439804766348,-3.2453781111660596,-129.16416014895137,-125.01386741348665,-3.2131922126684547,-22.798575669566937,-22.097863589223113,-3.0734906009026726
sample_000000040,-74.34266724314924,-74.46744192558755,0.012578471496853488,0.16783724214550882,318.4404006739637,318.37760351101747,0.9955076160907893,-0.019720224824911172,-48.67262290663413,-48.718886886994994,0.09505134015400801,-26.31524881248801,-26.393631992449034,0.2978622034682247
sample_000000041,-18.192677070907912,-18.143632769338762,0.009074112359057043,-0.26958265338297915,146.97359485451108,145.9534616820704,0.4145105436533895,-0.6940928222178234,7.510126525516946,7.484655572171922,-0.3391547833246451,-25.65001774864656,-25.575868871532247,-0.28907924291096104
sample_000000042,-133.64592222767342,-133.62593407638255,0.017176490151985368,-0.01495605025406137,426.3509306623463,424.50019409855724,1.3576765122853292,-0.4340876096866678,-108.26642151355534,-108.17109202865169,-0.0880508319855409,-26.732889916030757,-26.802353529793056,0.25984326416069126
sample_000000043,-26.952448802239612,-27.006322974740275,0.008774504132982017,0.19988600255196995,-70.23981182142198,-70.25908525684862,-0.21572150582779304,0.0274394747463753,-1.3566509896524976,-1.3549220635291948,-0.12744074463438435,-25.63824308794567,-25.693857824842052,0.21692101407108122
sample_000000044,-56.70953226724337,-55.42835949516413,0.011482633784200428,-2.2591841633285172,232.72087393587313,227.31175676031435,0.7245322951547155,-2.324293942385793,-30.406200467648762,-29.67152041702541,-2.4162178743938423,-26.747075891623716,-26.190269185963544,-2.0817479559870136
sample_000000045,-56.52502019176547,-54.68450426832037,0.012028741015702529,-3.256108387402626,219.56884276810186,211.7322794057128,0.681824787660632,-3.5690689369190975,-30.07057380529519,-29.015192766035916,-3.5096804141244204,-26.807656965913388,-26.00991552367002,-2.975796964493077
sample_000000046,-33.310438960527726,-32.308681173007365,0.009947137821527646,-3.0073388966966976,-87.07861556277277,-84.31398461338809,-0.26915439480637826,-3.1748678266384807,-7.291544917762987,-7.0929999686059135,-2.722947624904525,-26.125634772826327,-25.319033015421283,-3.0873958256662264
sample_000000047,-30.938608909479562,-32.902774179884744,0.009996987064170845,6.348589479740195,-35.692424845075124,-35.48488007056543,-0.1185162519895352,-0.5814812958507345,-2.6058670700521387,-4.720826538059507,81.16144880579238,-28.3454607394098,-28.194592447610603,-0.5322485077458536
sample_000000048,-33.879408268320766,-33.935415111593734,0.01136796865656068,0.1653123420261669,-9.141650964926173,-9.12016487827554,-0.03693078852647631,-0.2350350799113703,-5.784535530268229,-5.758917204983673,-0.44287609870326783,-28.096028120378737,-28.17765057229868,0.2905124225040965
sample_000000049,-155.88785795580947,-152.80990858175576,0.03458508536074341,-1.9744638321518462,488.3482579444962,475.45970768576746,1.5021084405018297,-2.639212907808428,-136.78013105843385,-134.0673816260441,-1.9832920259674576,-21.247315602181107,-20.82563739942656,-1.984618719134849
sample_000000050,-30.53254124089552,-30.195529783616923,0.009722370144001753,-1.1037779483196115,126.25091729200473,124.43411935183545,0.36594073973409935,-1.4390374178171104,-3.9048498930556286,-3.872281314317965,-0.8340545636743514,-26.67187798150488,-26.366799234501894,-1.1438217706849838
sample_000000051,-100.17577510869972,-96.84327899545669,0.01877743947913582,-3.3266486928870584,347.72510787572065,345.6046630883022,1.078426441464707,-0.609804911808767,-74.47080630404945,-70.97728860597098,-4.691123772468808,-26.650808031235762,-26.80607191831346,0.5825860397768162
sample_000000052,-46.132143594989095,-46.27875249476488,0.009880705517354557,0.31780205373268156,259.5143144131291,258.9540846487742,0.7385132164776886,-0.21587624775990868,-20.793201964641646,-20.762823293918164,-0.14609905090683478,-25.628324382038038,-25.804687090815914,0.6881554414126377
